azimuth,md (ft),tvd (ft),footage lateral length,well spacing,porpoise deviation,porpoise count,shale footage,acoustic impedance,log permeability,porosity,poisson ratio,water saturation,toc,vcl,p-velocity,s-velocity,youngs modulus,isip,breakdown pressure,pump rate,total number of stages,proppant volume,proppant fluid ratio,production,tc_number,op_number,date_sec
-11.8,14376,6817.0,7023.0,2521.2019,34.88,7,5106,32719.34,1.32,0.06,0.34,,3.93,1.93,12309.91,6475.37,29.75,4991.0,,75,35,10709935.0,0.91,1736.7938100000001,3,5,1467331200
-9.0600004,12768,7530.0,4933.0,2936.9568,13.21,9,0,34653.08,1.48,0.09,0.21,,3.78,0.49,11590.07,6817.36,27.63,5288.0,,86,21,8172444.0,1.86,2798.7594329999997,9,6,1541030400
21.959999,12874,7535.0,5089.0,1889.394,4.65,3,2152,34570.38,0.14,0.03,0.25,0.94,3.64,0.62,11117.56,6785.57,28.32,5848.0,,96,27,13000754.0,1.11,5463.968097999999,4,14,1533081600
-19.74,11123,6928.0,3622.0,2000.4401,6.3,8,4611,34469.8,1.11,0.05,0.29,0.69,4.97,0.44,12313.56,6764.83,28.27,4667.0,,82,15,,0.86,2002.2448420000003,5,1,1364774400
-21.41,18873,7136.0,11487.0,2625.7485,0.63,7,0,35358.4,0.7,0.04,0.33,,4.88,0.32,12742.32,7223.24,31.8,5030.0,5706.0,70,50,,0.88,5086.822502,1,11,1509494400
-24.52,13700,7045.0,6405.0,792.4599,315.66,1,0,30117.77,0.61,0.02,0.33,0.87,5.06,0.46,13564.11,6970.37,30.88,5022.0,,97,44,12433952.0,1.58,1843.103448,3,1,1519862400
-35.84,10647,5514.0,4807.0,4658.2725,7.55,18,9655,34811.38,0.84,0.07,0.19,,5.38,0.58,12578.92,7054.73,27.96,3346.0,,93,14,4894790.0,1.27,508.94219010000006,13,15,1372636800
-23.110001,14589,7366.0,6646.0,1513.0698,37.15,3,0,34661.95,1.88,0.21,0.21,,5.75,0.8,11413.49,7009.28,28.77,4110.0,,80,19,7663205.0,1.45,1744.4706469999999,2,2,1372636800
-44.490002000000004,12191,6911.0,5089.0,946.1578400000001,15.04,6,0,32140.21,0.44,0.03,0.31,,4.61,0.5,12500.8,7084.65,31.4,4832.0,7636.0,99,24,,1.38,504.4295346,12,21,1422748800
-30.52,15669,7033.0,8411.0,2168.4849,7.43,17,0,31568.71,1.25,0.05,0.34,,3.94,1.85,12399.56,6497.98,29.78,4443.0,,74,43,21520860.0,1.13,3146.9504230000002,3,5,1519862400
-29.75,18314,6722.0,11613.0,641.0025,26.27,5,277,27288.09,1.58,,0.2,,6.42,0.52,11801.52,6991.71,28.23,5501.0,,94,51,23130026.0,1.96,2112.703768,10,2,1535760000
-75.949997,11707,5846.0,5666.0,1759.7357,11.83,5,4108,33045.51,0.06,0.02,0.34,0.81,4.61,0.73,13172.87,6895.53,30.78,4401.0,,81,22,9032087.0,0.93,616.3775066000001,15,19,1441065600
-19.77,15515,,6594.0,4620.7266,19.11,21,10662,33781.33,0.34,0.05,0.34,0.86,4.34,0.72,13175.91,6793.66,30.44,5136.0,9278.0,92,22,15053610.0,0.71,2277.459113,4,4,1530403200
-41.349998,9700,6317.0,3124.0,4388.9497,4.68,21,8105,33069.47,0.4,0.02,0.33,0.7,4.8,0.62,13278.1,7125.15,31.3,4189.0,6077.0,70,15,6597559.0,1.16,451.90808880000003,10,11,1372636800
-55.849998,12560,5810.0,6309.0,2383.8379,16.72,23,8416,34723.19,0.5,0.02,0.33,,4.83,0.56,13280.73,7014.03,31.04,4362.0,,82,28,7654300.0,0.86,869.0764801000001,12,19,1404172800
-30.030001000000002,15575,9050.0,6229.0,421.83907999999997,13.07,21,10586,32939.52,0.89,0.05,0.28,,4.24,0.68,11800.98,7090.25,31.75,,,71,33,4929437.0,1.02,640.2543161,9,11,1435708800
-8.0699997,14144,8637.0,4625.0,3859.6321,14.22,7,5799,33543.38,0.36,0.03,0.25,,4.63,0.62,11834.59,7094.11,31.09,5871.0,8043.0,68,24,2742635.0,1.09,2887.753959,7,11,1375315200
,11723,6447.0,4587.0,,142.57,6,10244,34770.84,0.63,,0.34,,5.15,0.4,13588.36,6953.62,30.83,4186.0,,69,23,9096222.0,1.13,853.7593013000001,10,11,1372636800
-46.709998999999996,16580,7924.0,7670.0,4935.4126,20.14,9,0,34603.7,0.17,0.03,0.33,,4.72,0.78,12929.02,7001.5,31.21,5629.0,9448.0,98,36,10211621.0,0.97,2205.197627,16,4,1475280000
-39.529999,16584,7751.0,8583.0,1991.8982,37.94,29,17012,34634.34,1.35,0.04,0.21,0.9,5.11,0.62,12712.86,7072.03,29.62,6056.0,,100,28,10067031.0,1.3,1383.727159,10,4,1506816000
-30.91,15789,6422.0,9045.0,2209.8936,110.16,3,4477,33261.49,1.29,0.05,0.34,,3.87,1.89,12377.37,6502.8,29.8,4192.0,,70,46,18537600.0,1.1,3026.233432,1,5,1538352000
-44.220001,14361,5652.0,8459.0,4213.9629,19.62,11,1561,31078.71,0.52,0.02,0.34,,4.44,0.27,13487.18,6854.06,30.59,4419.0,5305.0,95,54,19765446.0,1.08,1903.9369,9,22,1527811200
-24.040001,17718,8709.0,8349.0,1416.6613,6.15,5,3247,34752.89,0.43,0.02,0.33,,4.72,0.59,13263.02,7033.37,31.11,5543.0,7175.0,82,42,,0.86,4228.464636,4,7,1548979200
-51.439999,17530,7216.0,10107.0,995.42365,208.1,1,0,35185.42,0.51,0.02,0.33,,4.78,0.57,13333.03,7015.97,31.05,4672.0,,90,54,17751614.0,1.13,2756.671721,5,8,1451606400
-32.619999,12725,7463.0,4806.0,,0.56,9,4056,34808.3,1.24,0.04,0.32,,4.85,0.96,12586.4,7454.69,32.84,5495.0,6529.0,97,17,6612626.0,1.04,1131.5888380000001,5,8,1325376000
